id;nombre;desarrollador;jugadores;genero;PEGI;plataforma;ano_salida;descripcion
806;"Age of Empires: The Age of Kings";"Backbone Entertainment";"1-4";"Estrategia";"E";"DS";"2006";"Lidera civilizaciones en Age of Empires: The Age of Kings. Construye imperios, participa en batallas históricas y vive la emoción de la estrategia en este juego para Nintendo DS."
807;"Marvel Super War";"NetEase Games";"1-10";"MOBA";"E10+";"Móvil";"2019";"Únete a la batalla en Marvel Super War. Elige superhéroes, participa en combates estratégicos y vive la experiencia del género MOBA en este juego para dispositivos móviles."
808;"Axis & Allies: RTS";"TimeGate Studios";"1-8";"Estrategia";"T";"PC";"2004";"Dirige tropas en Axis & Allies: RTS. Comanda fuerzas en la Segunda Guerra Mundial, desarrolla estrategias y vive la emoción de la estrategia en tiempo real en este juego para PC."
809;"Scribblenauts: Unlimited";"5th Cell";"1";"Puzzle";"E10+";"PC, PS3, Wii U";"2012";"Desata tu creatividad en Scribblenauts: Unlimited. Resuelve acertijos, crea objetos con palabras y vive la diversión del género puzzle en este juego para PC, PS3 y Wii U."
810;"The Last Door";"The Game Kitchen";"1";"Aventura, Terror";"16";"PC, Móvil";"2013";"Adéntrate en el misterio de The Last Door. Explora entornos oscuros, descubre secretos perturbadores y vive la experiencia de aventura y terror en este juego para PC y dispositivos móviles."
811;"Quest for Infamy";"Infamous Quests";"1";"Aventura";"16";"PC";"2014";"Embárcate en una búsqueda épica en Quest for Infamy. Toma decisiones, enfrenta desafíos y vive la emoción de la aventura en este juego para PC."
812;"Robots";"Eurocom";"1-4";"Acción, Aventura";"E";"PS2, Xbox";"2005";"Únete a los Robots en su misión. Combate en entornos futuristas, utiliza habilidades únicas y vive la emoción de la acción y la aventura en este juego para PS2 y Xbox."
813;"DigimonLinks";"Bandai Namco Entertainment";"1";"RPG, Móvil";"E";"Móvil";"2016";"Construye tu equipo en DigimonLinks. Entrena a Digimon, participa en batallas estratégicas y vive la experiencia de rol en este juego para dispositivos móviles."
814;"Zombie Apocalypse";"Nihilistic Software";"1-4";"Acción";"T";"PS3, Xbox 360";"2009";"Sobrevive al apocalipsis zombie en Zombie Apocalypse. Lucha contra hordas de no muertos, utiliza armas poderosas y vive la emoción de la acción en este juego para PS3 y Xbox 360."
815;"Top Spin 3";"PAM Development";"1-4";"Deportes";"E";"DS, PS3, Wii, Xbox 360";"2008";"Domina la pista en Top Spin 3. Participa en torneos de tenis, mejora tu habilidad y vive la emoción de la competencia en este juego para DS, PS3, Wii y Xbox 360."
816;"iCarly";"ART Co., Ltd.";"1";"Aventura";"E";"DS, Wii";"2009";"Acompaña a iCarly en nuevas aventuras. Realiza desafíos, interactúa con personajes conocidos y vive la experiencia de la serie en este juego para DS y Wii."
817;"Trainz Simulator 12";"N3V Games";"1";"Simulación";"E";"PC";"2011";"Construye y gestiona ferrocarriles en Trainz Simulator 12. Diseña rutas, controla trenes y vive la experiencia de simulación en este juego para PC."
818;"CSI";"369 Interactive";"1";"Aventura";"M";"PC";"2003";"Resuelve crímenes en CSI. Analiza evidencias, interrogantes sospechosos y vive la emoción de la investigación en este juego para PC."
819;"Just Dance 2015";"Ubisoft";"1-4";"Música";"E10+";"PS3, PS4, Wii, Wii U, Xbox 360, Xbox One";"2014";"Baila al ritmo de Just Dance 2015. Elige canciones, sigue los movimientos y vive la diversión del género musical en este juego para PS3, PS4, Wii, Wii U, Xbox 360 y Xbox One."
820;"Dynasty Warriors 6";"Omega Force";"1-2";"Acción";"T";"PS2, PS3, PSP, Xbox 360";"2007";"Participa en batallas épicas en Dynasty Warriors 6. Elige tu guerrero, enfrenta a miles de enemigos y vive la emoción de la acción en este juego para PS2, PS3, PSP y Xbox 360."
821;"Wartile";"Playwood Project";"1-8";"Estrategia";"T";"PC";"2018";"Sumérgete en batallas tácticas en Wartile. Controla figuras en miniatura, despliega estrategias y vive la experiencia de estrategia en este juego para PC."
822;"La Leyenda de Korra";"PlatinumGames";"1";"Acción";"T";"PC, PS3, PS4, Xbox 360, Xbox One";"2014";"Acompaña a Korra en su aventura en La Leyenda de Korra. Utiliza habilidades elementales, enfrenta enemigos poderosos y vive la emoción de la acción en este juego para PC, PS3, PS4, Xbox 360 y Xbox One."
823;"Bubble Witch 3 Saga";"King";"1";"Puzzle";"E";"Móvil";"2017";"Embárcate en una nueva saga en Bubble Witch 3 Saga. Combina burbujas, completa niveles desafiantes y vive la diversión del género puzzle en este juego para dispositivos móviles."
824;"Sniper: Ghost Warrior 2";"City Interactive";"1";"Acción, Shooter";"M";"PC, PS3, Xbox 360";"2013";"Conviértete en un francotirador en Sniper: Ghost Warrior 2. Completa misiones de precisión, utiliza armas avanzadas y vive la emoción del shooter en este juego para PC, PS3 y Xbox 360."
825;"Might & Magic: Duel of Champions";"Ubisoft Quebec";"1-2";"Estrategia, Cartas";"T";"PC";"2012";"Participa en duelos mágicos en Might & Magic: Duel of Champions. Construye mazos poderosos, desafía a oponentes y vive la experiencia de estrategia con cartas en este juego para PC."
826;"The Settlers 7";"Blue Byte";"1-4";"Estrategia";"E10+";"PC";"2010";"Construye tu imperio en The Settlers 7. Gestiona recursos, expande tu reino y vive la emoción de la estrategia en este juego para PC."
827;"uDraw GameTablet";"THQ";"1";"Varios";"E";"PS3, Wii, Xbox 360";"2010";"Desata tu creatividad con uDraw GameTablet. Dibuja, juega mini juegos y vive la experiencia de la tablet en este accesorio para PS3, Wii y Xbox 360."
828;"NBA 2K9";"Visual Concepts";"1-4";"Deportes";"E";"PC, PS2, PS3, Xbox 360";"2008";"Vive la intensidad del baloncesto en NBA 2K9. Juega partidos, mejora tu equipo y vive la emoción del deporte en este juego para PC, PS2, PS3 y Xbox 360."
829;"Splatoon 2";"Nintendo";"1-8";"Acción, Shooter";"E10+";"Switch";"2017";"Sumérgete en batallas de tinta en Splatoon 2. Forma equipo, pinta territorios y vive la emoción del shooter en este juego para Nintendo Switch."
830;"The Inner World - The Last Wind Monk";"Studio Fizbin";"1";"Aventura";"E";"PC, PS4, Xbox One";"2017";"Explora mundos encantadores en The Inner World - The Last Wind Monk. Resuelve acertijos, descubre secretos y vive la experiencia de aventura en este juego para PC, PS4 y Xbox One."
831;"WarioWare: Get It Together!";"Nintendo";"1-2";"Minijuegos";"E10+";"Switch";"2021";"Únete a la diversión caótica de WarioWare: Get It Together! Juega minijuegos, desafía a amigos y vive la emoción de la variedad en este juego para Nintendo Switch."
832;"SOCOM: U.S. Fireteam Bravo";"Zipper Interactive";"1-16";"Táctico, Shooter";"T";"PSP";"2006";"Participa en operaciones tácticas en SOCOM: U.S. Fireteam Bravo. Forma un equipo, completa misiones y vive la emoción del shooter táctico en este juego para PSP."
833;"Cityville 2";"Zynga";"1";"Simulación";"E";"Web";"2012";"Construye tu ciudad en Cityville 2. Gestiona recursos, expande tu metrópoli y vive la experiencia de simulación en este juego para plataformas web."
834;"Elements";"Gameforge";"1-2";"Cartas";"E";"PC";"2014";"Sumérgete en duelos mágicos en Elements. Construye mazos estratégicos, desafía a oponentes y vive la experiencia de cartas en este juego para PC."
835;"Call of Duty: United Offensive";"Gray Matter Interactive";"1-64";"Acción, Shooter";"T";"PC";"2004";"Enfréntate en la Segunda Guerra Mundial en Call of Duty: United Offensive. Participa en batallas épicas, utiliza armas históricas y vive la emoción del shooter en este juego para PC."
836;"WarioWare, Inc: Minigame Mania";"Nintendo";"1-2";"Minijuegos";"E";"GBA";"2003";"Disfruta de la locura de WarioWare, Inc: Minigame Mania. Juega rápidos minijuegos, supera desafíos y vive la emoción de la variedad en este juego para Game Boy Advance."
837;"Battle Chess";"Interplay Entertainment";"1-2";"Estrategia";"E";"PC";"1988";"Conviértete en maestro del ajedrez en Battle Chess. Controla piezas animadas, planifica estrategias y vive la emoción del ajedrez en este juego para PC."
838;"GRID";"Codemasters";"1-12";"Carreras";"E";"PC, PS3, Xbox 360";"2008";"Participa en emocionantes carreras en GRID. Conduce diversos autos, compite en circuitos reales y vive la emoción de las carreras en este juego para PC, PS3 y Xbox 360."
839;"Neo Geo Battle Coliseum";"SNK Playmore";"1-2";"Lucha";"T";"Arcade, PS2, Xbox";"2005";"Reúne a luchadores en Neo Geo Battle Coliseum. Combate con personajes icónicos, realiza combos espectaculares y vive la emoción de la lucha en este juego para Arcade, PS2 y Xbox."
840;"Hunting Unlimited 2010";"SCS Software";"1";"Caza, Simulación";"T";"PC";"2009";"Embárcate en expediciones de caza en Hunting Unlimited 2010. Rastrea animales, utiliza equipo especializado y vive la emoción de la caza en este juego para PC."
841;"Dark Deity";"Sword & Axe";"1";"Estrategia, RPG";"T";"PC";"2021";"Dirige héroes en Dark Deity. Forma equipos, enfrenta desafíos estratégicos y vive la experiencia de RPG táctico en este juego para PC."
842;"King of the Castle";"Gameway";"1-4";"Aventura, Indie";"E";"PC";"2021";"Construye castillos en King of the Castle. Juega en solitario o con amigos, defiende tu fortaleza y vive la emoción de la aventura en este juego para PC."
843;"Binary Domain";"Sega";"1-4";"Acción, Shooter";"M";"PC, PS3, Xbox 360";"2012";"Enfréntate a robots en Binary Domain. Combate con inteligencia artificial, toma decisiones morales y vive la emoción del shooter en este juego para PC, PS3 y Xbox 360."
844;"Darksiders II: Deathinitive Edition";"Gunfire Games";"1";"Acción, Aventura";"M";"PC, PS4, Xbox One";"2015";"Embárcate en la búsqueda de la muerte en Darksiders II: Deathinitive Edition. Explora mundos, derrota enemigos y vive la emoción de la aventura en este juego para PC, PS4 y Xbox One."
845;"Infinity Blade III";"Epic Games";"1";"Acción, RPG";"M";"iOS";"2013";"Enfréntate a poderosos enemigos en Infinity Blade III. Mejora tu equipo, desbloquea habilidades y vive la emoción del RPG en este juego para iOS."
846;"Negative Atmosphere";"Sun Scorched Studios";"1";"Acción, Horror";"RP";"PC";"2022";"Explora una estación espacial en Negative Atmosphere. Enfrenta horrores cósmicos, resuelve misterios y vive la experiencia de horror en este juego para PC."
847;"Ghost Rider";"2K Games";"1";"Acción, Aventura";"T";"PS2, PSP";"2007";"Embárcate en una venganza ardiente en Ghost Rider. Lucha contra demonios, utiliza el poder del Motorista Fantasma y vive la emoción de la acción en este juego para PS2 y PSP."
848;"Air Conflicts: Vietnam";"Games Farm";"1-8";"Simulación, Shooter";"T";"PC, PS3, Xbox 360";"2013";"Participa en misiones aéreas en Air Conflicts: Vietnam. Pilotea diferentes aviones, enfrenta desafíos y vive la emoción de la simulación en este juego para PC, PS3 y Xbox 360."
849;"Paladins: Champions of the Realm";"Evil Mojo Games";"1-10";"Acción, Shooter";"T";"PC, PS4, Switch, Xbox One";"2018";"Únete a batallas heroicas en Paladins: Champions of the Realm. Elige campeones, lucha en equipos y vive la emoción del shooter en este juego para PC, PS4, Switch y Xbox One."
850;"Bugsnax";"Young Horses";"1";"Aventura";"E10+";"PC, PS4, PS5";"2020";"Descubre criaturas únicas en Bugsnax. Explora islas, captura extrañas criaturas y vive la emoción de la aventura en este juego para PC, PS4 y PS5."
851;"Ravenswatch Brewmaster";"Ravenswatch";"1";"Simulación, Indie";"RP";"PC";"2022";"Gestiona una cervecería en Ravenswatch Brewmaster. Elabora cervezas, satisface a clientes y vive la experiencia de simulación indie en este juego para PC."
852;"Hotline Miami";"Dennaton Games";"1";"Acción, Indie";"M";"PC, PS3, PS4, PS Vita, Xbox 360";"2012";"Sumérgete en la violencia de Hotline Miami. Completa misiones, derrota enemigos y vive la emoción del indie en este juego para PC, PS3, PS4, PS Vita y Xbox 360."
853;"Metal Gear Solid Touch";"Kojima Productions";"1";"Acción, Shooter";"M";"iOS";"2009";"Experimenta la acción táctil en Metal Gear Solid Touch. Embárcate en misiones, dispara enemigos y vive la emoción del shooter en este juego para iOS."
854;"Naruto: Ninja Storm Generations";"CyberConnect2";"1-2";"Lucha";"T";"PS3, Xbox 360";"2012";"Lucha con ninjas en Naruto: Ninja Storm Generations. Desata poderosos jutsus, participa en batallas y vive la emoción de la lucha en este juego para PS3 y Xbox 360."
855;"Dragon Quest Monsters: Joker";"TOSE";"1-8";"RPG";"E";"DS";"2006";"Captura monstruos en Dragon Quest Monsters: Joker. Forma un equipo, explora islas y vive la experiencia de RPG en este juego para Nintendo DS."
856;"Ratchet: Gladiator";"Insomniac Games";"1-2";"Acción, Shooter";"T";"PS2";"2005";"Únete a Ratchet en Gladiator. Participa en desafíos, combate en arenas y vive la emoción del acción-shooter en este juego para PS2."
857;"JuJu";"Tribute Games";"1-2";"Plataformas, Indie";"E";"PC, PS3, Xbox 360";"2014";"Embárcate en una aventura mágica en JuJu. Recorre mundos encantadores, supera obstáculos y vive la emoción del plataformas indie en este juego para PC, PS3 y Xbox 360."
858;"Persona 3 Reload";"Atlus";"1";"RPG";"M";"PSP";"2010";"Vive el misterio en Persona 3 Reload. Enfrenta criaturas sobrenaturales, fortalece vínculos y vive la experiencia de RPG en este juego para PSP."
859;"Fashion Designer";"3VisionGames";"1";"Simulación";"E";"PC";"2010";"Conviértete en diseñador en Fashion Designer. Crea looks únicos, participa en desfiles y vive la experiencia de simulación en este juego para PC."
860;"WWE: Smackdown vs. RAW 2011";"Yuke's";"1-4";"Lucha";"T";"PS2, PS3, PSP, Wii, Xbox 360";"2010";"Enfréntate en el ring en WWE: Smackdown vs. RAW 2011. Lucha con superestrellas, realiza movimientos espectaculares y vive la emoción de la lucha en este juego para PS2, PS3, PSP, Wii y Xbox 360."
861;"Far Cry Arcade";"Ubisoft";"1-12";"Acción, Shooter";"M";"PC, PS4, Xbox One";"2018";"Crea y juega en Far Cry Arcade. Diseña mapas, combate con amigos y vive la emoción del shooter en este juego para PC, PS4 y Xbox One."
862;"Super Mario Maker";"Nintendo";"1-4";"Plataformas, Creación";"E";"Wii U";"2015";"Crea y juega niveles en Super Mario Maker. Diseña desafíos, comparte creaciones y vive la emoción del plataformas en este juego para Wii U."
863;"Clash of Clans";"Supercell";"1";"Estrategia";"E10+";"Android, iOS";"2012";"Construye tu aldea en Clash of Clans. Entrena tropas, defiende contra ataques y vive la experiencia de estrategia en este juego para Android e iOS."
864;"The Secrets of Da Vinci: El Manuscrito Prohibido";"Kheops Studio";"1";"Aventura";"T";"PC";"2006";"Descubre misterios en The Secrets of Da Vinci. Resuelve acertijos, explora lugares históricos y vive la emoción de la aventura en este juego para PC."
865;"A Total War Saga: Troy";"Creative Assembly";"1-8";"Estrategia";"T";"PC";"2020";"Dirige ejércitos en A Total War Saga: Troy. Conquista tierras, participa en batallas y vive la emoción de la estrategia en este juego para PC."
866;"Link's Crossbow Training";"Nintendo";"1-4";"Shooter, Arcade";"T";"Wii";"2007";"Afina tu puntería en Link's Crossbow Training. Completa desafíos, mejora habilidades y vive la emoción del shooter en este juego para Wii."
867;"Among Us VR";"InnerSloth";"4-10";"Acción, Social";"E10+";"PC VR";"2023";"Sé impostor o tripulante en Among Us VR. Engaña o descubre al impostor y vive la emoción social en este juego de realidad virtual para PC VR."
868;"Crash Bandicoot Mobile";"King";"1";"Aventura, Plataformas";"E";"Android, iOS";"2020";"Únete a Crash en Crash Bandicoot Mobile. Supera obstáculos, derrota jefes y vive la emoción de la aventura en este juego para Android e iOS."
869;"Land of the Dead: Road to Fiddler's Green";"Groove Games";"1";"Acción, Shooter";"M";"PC, Xbox";"2005";"Sobrevive al apocalipsis en Land of the Dead. Enfrenta zombis, recorre lugares devastados y vive la emoción del shooter en este juego para PC y Xbox."
870;"F1 Manager 2022";"hedgehogprogram";"1";"Simulación, Deportes";"E";"PC";"2022";"Dirige un equipo en F1 Manager 2022. Gestiona recursos, toma decisiones estratégicas y vive la emoción de la simulación deportiva en este juego para PC."
871;"Skylanders: Swap Force";"Vicarious Visions";"1-2";"Acción, Aventura";"E10+";"3DS, PS3, PS4, Wii, Wii U, Xbox 360";"2013";"Únete a los Skylanders en Swap Force. Intercambia partes, combate enemigos y vive la emoción de la aventura en este juego para 3DS, PS3, PS4, Wii, Wii U y Xbox 360."
872;"Tiger Woods PGA Tour 06";"EA Sports";"1-4";"Deportes";"E";"DS, GameCube, PC, PS2, PSP, Xbox";"2005";"Golpea en Tiger Woods PGA Tour 06. Juega torneos, mejora habilidades y vive la emoción del golf en este juego para DS, GameCube, PC, PS2, PSP y Xbox."
873;"Batman: Return to Arkham";"Rocksteady Studios";"1";"Acción, Aventura";"M";"PS4, Xbox One";"2016";"Regresa a Arkham en Batman: Return to Arkham. Disfruta de remasterizaciones, combate villanos y vive la emoción de la acción-aventura en este juego para PS4 y Xbox One."
874;"Oceanhorn: Monster of Uncharted Seas";"Cornfox & Bros.";"1";"Acción, Aventura";"E10+";"iOS, PC, PS4, PS Vita, Switch, Xbox One";"2013";"Explora mares en Oceanhorn: Monster of Uncharted Seas. Resuelve acertijos, derrota monstruos y vive la emoción de la aventura en este juego para iOS, PC, PS4, PS Vita, Switch y Xbox One."
875;"Storyteller";"Daniel Benmergui";"1";"Aventura, Indie";"RP";"PC";"2019";"Construye historias en Storyteller. Crea mundos, comparte narrativas y vive la experiencia indie en este juego para PC."
876;"Leisure Suit Larry Box Office Bust";"Team17";"1";"Aventura";"M";"PC, PS2, Xbox 360";"2009";"Embárcate en Hollywood en Leisure Suit Larry. Realiza misiones, interactúa con personajes y vive la emoción de la aventura en este juego para PC, PS2 y Xbox 360."
877;"Deadfall Adventures";"The Farm 51";"1";"Acción, Aventura";"M";"PC";"2013";"Explora en Deadfall Adventures. Resuelve acertijos, combate enemigos y vive la emoción de la aventura en este juego para PC."
878;"Hearthstone: Forjados en los Baldíos";"Blizzard Entertainment";"1-2";"Estrategia, Cartas";"T";"Android, iOS, PC";"2014";"Juega Hearthstone: Forjados en los Baldíos. Construye mazos, desafía jugadores y vive la emoción de las cartas en este juego para Android, iOS y PC."
879;"Redemption";"Hypernova Interactive";"1";"Acción, Aventura";"RP";"PC";"2023";"Vive una historia épica en Redemption. Explora mundos, enfrenta peligros y vive la emoción de la aventura en este juego para PC."
880;"Reapers";"Bryan Mejia";"1";"Acción, Shooter";"RP";"PC";"2023";"Enfréntate a criaturas sobrenaturales en Reapers. Utiliza armas poderosas, supera desafíos y vive la emoción del shooter en este juego para PC."
881;"Game of Thrones: Beyond the Wall";"Behaviour Interactive";"1";"Estrategia, RPG";"M";"Android, iOS";"2020";"Explora la historia en Game of Thrones: Beyond the Wall. Recluta personajes, enfrenta enemigos y vive la emoción de la estrategia RPG en este juego para Android e iOS."
882;"We Love Katamari";"Namco";"1-2";"Acción, Puzzle";"E";"PS2";"2005";"Rueda por el mundo en We Love Katamari. Recoge objetos, forma bolas gigantes y vive la emoción del acción-puzzle en este juego para PS2."
883;"Spellbreak";"Proletariat";"1-42";"Acción, Shooter";"T";"PC, PS4, Switch, Xbox One";"2020";"Lanza hechizos en Spellbreak. Domina elementos, participa en batallas y vive la emoción del battle royale en este juego para PC, PS4, Switch y Xbox One."
884;"Wargroove";"Chucklefish";"1-4";"Estrategia, Turnos";"E10+";"PC, PS4, Switch, Xbox One";"2019";"Comanda ejércitos en Wargroove. Despliega estrategias, lucha en batallas y vive la emoción de la estrategia por turnos en este juego para PC, PS4, Switch y Xbox One."
885;"Yakuza Online";"Sega";"1";"Acción, RPG";"RP";"Android, iOS";"2018";"Explora Tokio en Yakuza Online. Completa misiones, forma alianzas y vive la emoción del RPG de acción en este juego para Android e iOS."
886;"The Technomancer";"Spiders";"1";"Acción, RPG";"M";"PC, PS4, Xbox One";"2016";"Desata poderes en The Technomancer. Viaja por Marte, enfrenta peligros y vive la emoción del RPG de acción en este juego para PC, PS4 y Xbox One."
887;"Medal of Honor: Pacific Assault";"EA Los Angeles";"1";"Shooter";"T";"PC";"2004";"Enfréntate en el Pacífico en Medal of Honor: Pacific Assault. Combate en batallas, cumple misiones y vive la emoción del shooter en este juego para PC."
888;"My Hero One's Justice";"Byking";"1-2";"Lucha";"T";"PC, PS4, Switch, Xbox One";"2018";"Lucha con héroes en My Hero One's Justice. Utiliza habilidades, participa en combates y vive la emoción de la lucha en este juego para PC, PS4, Switch y Xbox One."
889;"World of Warcraft: Cataclysm";"Blizzard Entertainment";"1";"MMORPG";"T";"PC";"2010";"Explora Azeroth en World of Warcraft: Cataclysm. Completa misiones, únete a facciones y vive la emoción del MMORPG en este juego para PC."
890;"Buzz! Cerebros en Acción";"Relentless Software";"1-8";"Trivia, Familiar";"E";"PS2";"2009";"Desafía tu mente en Buzz! Cerebros en Acción. Responde preguntas, compite con amigos y vive la emoción del juego de trivia en este título para PS2."
891;"The Witcher Adventure Game";"CD Projekt";"1-4";"Aventura, Estrategia";"T";"Android, iOS, PC";"2014";"Adéntrate en el mundo de The Witcher Adventure Game. Completa misiones, toma decisiones y vive la emoción de la aventura estratégica en este juego para Android, iOS y PC."
892;"Championship Athletics";"Mistic Software";"1";"Deportes";"E";"PC";"2010";"Participa en competiciones en Championship Athletics. Realiza pruebas, bate récords y vive la emoción de los deportes en este juego para PC."
893;"Lords of Xulima";"Numantian Games";"1";"Rol";"T";"PC";"2014";"Embárcate en una epopeya en Lords of Xulima. Explora tierras, combate monstruos y vive la emoción del juego de rol en este título para PC."
894;"Tom Clancy's ShadowBreak";"Ubisoft";"1";"Shooter, Estrategia";"T";"Android, iOS";"2017";"Únete a la élite en Tom Clancy's ShadowBreak. Forma escuadrones, enfrenta enemigos y vive la emoción del shooter estratégico en este juego para Android e iOS."
895;"After Burner Climax";"Sega";"1";"Arcade, Vuelo";"E10+";"PS3, Xbox 360";"2010";"Surca los cielos en After Burner Climax. Pilotea aviones, esquiva proyectiles y vive la emoción del arcade de vuelo en este juego para PS3 y Xbox 360."
896;"Lost Horizon";"Animation Arts";"1";"Aventura, Point and Click";"M";"PC";"2010";"Descubre secretos en Lost Horizon. Resuelve acertijos, toma decisiones y vive la emoción de la aventura de point and click en este juego para PC."
897;"Grand Slam Tennis";"EA Vancouver";"1-4";"Deportes";"E";"PS3, Wii, Xbox 360";"2009";"Juega tenis en Grand Slam Tennis. Participa en torneos, mejora habilidades y vive la emoción de los deportes en este juego para PS3, Wii y Xbox 360."
898;"Paper Mario: Sticker Star";"Intelligent Systems";"1";"Aventura, RPG";"E";"3DS";"2012";"Vive una aventura única en Paper Mario: Sticker Star. Combate enemigos, recoge pegatinas y vive la emoción del RPG en este juego para 3DS."
899;"Just Cause 3";"Avalanche Studios";"1";"Acción, Mundo Abierto";"M";"PC, PS4, Xbox One";"2015";"Libera el caos en Just Cause 3. Explora islas, destruye todo y vive la emoción del mundo abierto en este juego para PC, PS4 y Xbox One."
900;"Tv Show King";"Gameloft";"1-4";"Trivia, Familiar";"E";"Wii";"2008";"Demuestra tus conocimientos en Tv Show King. Responde preguntas, desafía a amigos y vive la emoción del juego de trivia en este título para Wii."
901;"Criminology Wanderer";"Applava";"1";"Aventura, Detective";"RP";"Android, iOS";"2021";"Investiga crímenes en Criminology Wanderer. Resuelve casos, encuentra pistas y vive la emoción de la aventura de detective en este juego para Android e iOS."
902;"Unknown 9: Awakening";"Reflector Entertainment";"1";"Aventura, Misterio";"RP";"PC, PS5, Xbox Series X/S";"TBD";"Sumérgete en lo desconocido en Unknown 9: Awakening. Descubre secretos, enfrenta misterios y vive la emoción de la aventura en este juego próximo para PC, PS5 y Xbox Series X/S."
903;"Star Wars: Rise to Power";"EA Mobile";"1";"Estrategia, Sci-Fi";"RP";"Android, iOS";"TBD";"Conquista la galaxia en Star Wars: Rise to Power. Construye bases, dirige ejércitos y vive la emoción de la estrategia sci-fi en este juego próximo para Android e iOS."
904;"Halo 3";"Bungie";"1-4";"Shooter, Sci-Fi";"M";"PC, Xbox 360";"2007";"Únete a la lucha en Halo 3. Enfréntate a Covenant, domina armas y vive la emoción del shooter sci-fi en este juego para PC y Xbox 360."
905;"Patapon 3";"Pyramid";"1";"Estrategia, Ritmo";"E10+";"PSP";"2011";"Comanda ejércitos en Patapon 3. Sigue el ritmo, derrota enemigos y vive la emoción de la estrategia rítmica en este juego para PSP."
906;"Fallout 4 - Wasteland Workshop";"Bethesda Game Studios";"1";"RPG, Construcción";"M";"PC, PS4, Xbox One";"2016";"Sobrevive al yermo en Fallout 4 - Wasteland Workshop. Construye asentamientos, enfréntate a criaturas y vive la emoción del RPG de construcción en este DLC para PC, PS4 y Xbox One."
907;"Pony Friends 2";"Tantalus Media";"1";"Simulación, Familiar";"E";"DS, Wii";"2009";"Cuida de ponis en Pony Friends 2. Realiza actividades, personaliza establos y vive la emoción de la simulación familiar en este juego para DS y Wii."
908;"Leisure Suit Larry: Magna Cum Laude";"High Voltage Software";"1";"Aventura, Adulto";"M";"PC, PS2, Xbox";"2004";"Vive la universidad en Leisure Suit Larry: Magna Cum Laude. Completa desafíos, socializa y vive la emoción de la aventura adulta en este juego para PC, PS2 y Xbox."
909;"Devil May Cry 3 Special Edition";"Capcom";"1";"Acción, Hack and Slash";"M";"PC, PS2, PS3, Xbox";"2006";"Enfrenta demonios en Devil May Cry 3 Special Edition. Usa habilidades, derrota enemigos y vive la emoción del hack and slash en este juego para PC, PS2, PS3 y Xbox."
910;"Blazing Angels 2: Misiones secretas";"Ubisoft";"1-16";"Simulación, Vuelo";"T";"PC, PS3, Xbox 360";"2007";"Participa en misiones secretas en Blazing Angels 2. Pilotea aviones, coopera en línea y vive la emoción de la simulación de vuelo en este juego para PC, PS3 y Xbox 360."
911;"Spider-Man: Edge of Time";"Beenox";"1";"Acción, Aventura";"T";"DS, PS3, Wii, Xbox 360";"2011";"Balancea entre dimensiones en Spider-Man: Edge of Time. Controla dos Spider-Men, enfrenta enemigos y vive la emoción de la acción y aventura en este juego para DS, PS3, Wii y Xbox 360."
912;"Persona 3 FES";"Atlus";"1";"RPG, Simulación";"M";"PS2";"2008";"Vive una doble vida en Persona 3 FES. Socializa, combate criaturas y vive la emoción del RPG de simulación en este juego para PS2."
913;"The Plucky Squire";"Midnight Games";"1-2";"Aventura, Cooperativo";"RP";"PC";"2021";"Embárcate en una búsqueda en The Plucky Squire. Resuelve acertijos, colabora en cooperativo y vive la emoción de la aventura en este juego para PC."
914;"Pokkén Tournament";"Bandai Namco";"1-2";"Lucha, Pokémon";"E10+";"Arcade, Wii U";"2015";"Lucha con Pokémon en Pokkén Tournament. Elige tu favorito, realiza combos y vive la emoción del juego de lucha en este título para Arcade y Wii U."
915;"Superman Returns";"EA Tiburon";"1";"Acción, Mundo Abierto";"T";"PS2, Xbox";"2006";"Protege Metrópolis en Superman Returns. Usa superpoderes, enfrenta amenazas y vive la emoción del mundo abierto en este juego para PS2 y Xbox."
916;"Need for Speed: Shift";"Slightly Mad Studios";"1-8";"Conducción, Simulación";"E";"iOS, PC, PS3, PSP, Xbox 360";"2009";"Corre a alta velocidad en Need for Speed: Shift. Conduce coches, compite en carreras y vive la emoción de la simulación de conducción en este juego para iOS, PC, PS3, PSP y Xbox 360."
917;"The Pathless";"Giant Squid";"1";"Aventura, Acción";"E10+";"iOS, PC, PS4, PS5";"2020";"Explora mundos en The Pathless. Resuelve acertijos, enfrenta criaturas y vive la emoción de la aventura y acción en este juego para iOS, PC, PS4 y PS5."
918;"Paradise";"Benjamin Rivers";"1";"Aventura Gráfica, Indie";"RP";"PC";"2022";"Descubre secretos en Paradise. Toma decisiones, explora entornos y vive la emoción de la aventura gráfica indie en este juego para PC."
919;"The Last Blade";"SNK";"1-2";"Lucha, Samurai";"T";"Arcade, Neo Geo, PS4, Switch";"1997";"Lucha con habilidad en The Last Blade. Elige tu personaje, domina técnicas y vive la emoción del juego de lucha samurai en este título para Arcade, Neo Geo, PS4 y Switch."
